,Enzyme,Subsystem
214,P50318,Calvin-Benson cycle
215,P50318,glycolysis
216,P50651,nucleotide metabolism
217,P52420,IMP synthesis
218,P52422,IMP synthesis
219,P52901,pyruvate decarboxylation
220,P53780,methionine synthesis
221,P54887,proline synthesis
222,P54888,proline synthesis
223,P54904,proline synthesis
224,P55217,methionine synthesis
225,P55228,starch synthesis
226,P55229,starch synthesis
227,P55230,starch synthesis
228,P55231,starch synthesis
229,P56751,
230,P56752,
231,P56753,
232,P56754,
233,P56755,
234,P56756,
235,P56757,
236,P56758,
237,P56759,
238,P56760,
239,P56761,light reactions
240,P56765,fatty acid synthesis
241,P56766,light reactions
242,P56767,light reactions
243,P56768,light reactions
244,P56769,light reactions
245,P56771,
246,P56773,
247,P56774,
248,P56775,
249,P56776,
250,P56777,light reactions
251,P56778,light reactions
252,P56779,light reactions
253,P56780,light reactions
254,P56781,light reactions
255,P56782,light reactions
256,P56790,light reactions
257,P57106,gluconeogenesis
258,P57720,Shikimate pathway
259,P57751,sucrose synthesis
260,P57751,sucrose degradation
261,P57751,pyrophosphate recycling
262,P60112,
263,P60129,light reactions
264,P60497,oxidative phosphorylation
265,P60620,oxidative phosphorylation
266,P61039,
267,P61839,light reactions
268,P62090,light reactions
269,P62095,light reactions
270,P62100,light reactions
271,P62109,light reactions
272,P62113,light reactions
273,P68209,tricarboxylic acid cycle
274,P83483,
275,P83484,
276,P83755,light reactions
277,P92533,oxidative phosphorylation
278,P92547,
279,P92549,
280,P92979,sulfur assimilation
281,P92980,sulfur assimilation
282,P92981,sulfur assimilation
283,P92983,proline degradation
284,P93032,tricarboxylic acid cycle
285,P93033,tricarboxylic acid cycle
286,P93285,oxidative phosphorylation
287,P93306,oxidative phosphorylation
288,P93313,oxidative phosphorylation
289,P93757,nucleotide metabolism
290,P93819,gluconeogenesis
291,P93832,leucine synthesis
292,P93834,starch degradation
293,P93834,sucrose degradation
294,P93834,sucrose degradation
295,Q00218,Shikimate pathway
296,Q00917,sucrose degradation
297,Q01908,
298,Q01909,
299,Q02166,tryptophan synthesis
300,Q04613,
301,Q04614,oxidative phosphorylation
302,Q05728,IMP synthesis
303,Q05758,
304,Q05762,THF recycling
305,Q05762,nucleotide metabolism
306,Q0WNZ5,methionine synthesis
307,Q0WQF7,pyruvate decarboxylation
308,Q0WRY1,CTP synthesis
309,Q0WSF1,glycine synthesis
310,Q0WVX5,starch synthesis
311,Q0WW55,nucleotide metabolism
312,Q0WWE3,oxidative phosphorylation
313,Q1JPL4,
314,Q1WIQ6,glycolysis
315,Q24JJ8,photorespiration
316,Q2PGG3,serine racemization
317,Q2V2S7,
318,Q37165,
319,Q38799,pyruvate decarboxylation
320,Q38946,glutamate synthesis
321,Q38946,glutamate degradation
322,Q39161,nitrate assimilation
323,Q39194,light reactions
324,Q39195,light reactions
325,Q39218,cysteine synthesis
326,Q39219,
327,Q39242,TRX recycling
328,Q39243,TRX recycling
329,Q3E870,tricarboxylic acid cycle
330,Q3E870,oxidative phosphorylation
331,Q41932,light reactions
332,Q42029,light reactions
333,Q42290,oxidative phosphorylation
334,Q42440,tryptophan synthesis
335,Q42472,glutamate degradation
336,Q42521,glutamate degradation
337,Q42527,tryptophan synthesis
338,Q42529,tryptophan synthesis
339,Q42533,fatty acid synthesis
