,prot
P10798,"Ribulose bisphosphate carboxylase small subunit 3B, chloroplastic"
P11035,Nitrate reductase [NADH] 2
P11832,Nitrate reductase [NADH] 1
P14671,"Tryptophan synthase beta chain 1, chloroplastic"
P17562,S-adenosylmethionine synthase 2
P17597,"Acetolactate synthase, chloroplastic"
P19366,"ATP synthase subunit beta, chloroplastic"
P20115,"Citrate synthase 4, mitochondrial"
P21216,Soluble inorganic pyrophosphatase 2
P22197,"Fructose-bisphosphate aldolase 7, cytosolic"
P23321,"Oxygen-evolving enhancer protein 1-1, chloroplastic"
P23686,S-adenosylmethionine synthase 1
P25269,"Tryptophan synthase beta chain 2, chloroplastic"
P25696,Bifunctional enolase 2/transcriptional activator
P25697,"Phosphoribulokinase, chloroplastic"
P25819,Catalase-2
P25851,"Fructose-1,6-bisphosphatase 1, chloroplastic"
P25853,Beta-amylase 5
P25856,"Glyceraldehyde-3-phosphate dehydrogenase GAPA1, chloroplastic"
P25857,"Glyceraldehyde-3-phosphate dehydrogenase GAPB, chloroplastic"
P25858,"Glyceraldehyde-3-phosphate dehydrogenase GAPC1, cytosolic"
P26288,"NAD(P)H-quinone oxidoreductase chain 4, chloroplastic"
P26289,"NAD(P)H-quinone oxidoreductase subunit 4L, chloroplastic"
P27140,"Beta carbonic anhydrase 1, chloroplastic"
P27202,"Photosystem II 10 kDa polypeptide, chloroplastic"
P28297,Isocitrate lyase
P29976,"Phospho-2-dehydro-3-deoxyheptonate aldolase 1, chloroplastic"
P31166,"Adenine phosphoribosyltransferase 1, chloroplastic"
P32068,"Anthranilate synthase alpha subunit 1, chloroplastic"
P32069,"Anthranilate synthase alpha subunit 2, chloroplastic"
P32746,"Dihydroorotate dehydrogenase (quinone), mitochondrial"
P34047,"Imidazoleglycerol-phosphate dehydratase 1, chloroplastic"
P34795,"Glucose-6-phosphate isomerase, cytosolic"
P38025,"Phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic"
P39207,Nucleoside diphosphate kinase 1
P42737,"Beta carbonic anhydrase 2, chloroplastic"
P42738,"Chorismate mutase 1, chloroplastic"
P42770,"Glutathione reductase, chloroplastic"
P42792,Cytochrome b
P46248,"Aspartate aminotransferase, chloroplastic"
P46283,"Sedoheptulose-1,7-bisphosphatase, chloroplastic"
P46637,"Arginase 1, mitochondrial"
P46643,"Aspartate aminotransferase, mitochondrial"
P46644,"Aspartate aminotransferase 3, chloroplastic"
P46645,"Aspartate aminotransferase, cytoplasmic isozyme 1"
P46646,"Aspartate aminotransferase, cytoplasmic isozyme 2"
P47996,Inosine-5'-monophosphate dehydrogenase 1
P47998,Cysteine synthase 1
P47999,"Cysteine synthase, chloroplastic/chromoplastic"
P48491,"Triosephosphate isomerase, cytosolic"
P49040,Sucrose synthase 1
P49077,"Aspartate carbamoyltransferase, chloroplastic"
P49078,Asparagine synthetase [glutamine-hydrolyzing] 1
P49107,"Photosystem I reaction center subunit N, chloroplastic"
P49572,"Indole-3-glycerol phosphate synthase, chloroplastic"
P50287,Isoaspartyl peptidase/L-asparaginase 1
P50318,"Phosphoglycerate kinase 2, chloroplastic"
P50651,Ribonucleoside-diphosphate reductase small chain A
P52420,"Phosphoribosylamine--glycine ligase, chloroplastic"
P52422,"Phosphoribosylglycinamide formyltransferase, chloroplastic"
P52901,"Pyruvate dehydrogenase E1 component subunit alpha-1, mitochondrial"
P53780,"Cystathionine beta-lyase, chloroplastic"
P54887,Delta-1-pyrroline-5-carboxylate synthase A
P54888,Delta-1-pyrroline-5-carboxylate synthase B
P54904,Pyrroline-5-carboxylate reductase
P55217,"Cystathionine gamma-synthase 1, chloroplastic"
P55228,"Glucose-1-phosphate adenylyltransferase small subunit, chloroplastic"
P55229,"Glucose-1-phosphate adenylyltransferase large subunit 1, chloroplastic"
P55230,"Glucose-1-phosphate adenylyltransferase large subunit 2, chloroplastic"
P55231,"Glucose-1-phosphate adenylyltransferase large subunit 3, chloroplastic"
P56751,"NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic"
P56752,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic"
P56753,"NAD(P)H-quinone oxidoreductase subunit H, chloroplastic"
P56754,"NAD(P)H-quinone oxidoreductase subunit J, chloroplastic"
P56755,"NAD(P)H-quinone oxidoreductase subunit I, chloroplastic"
P56756,"NAD(P)H-quinone oxidoreductase subunit K, chloroplastic"
P56757,"ATP synthase subunit alpha, chloroplastic"
P56758,"ATP synthase subunit a, chloroplastic"
P56759,"ATP synthase subunit b, chloroplastic"
P56760,"ATP synthase subunit c, chloroplastic"
P56761,Photosystem II D2 protein
P56765,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic"
P56766,Photosystem I P700 chlorophyll a apoprotein A1
P56767,Photosystem I P700 chlorophyll a apoprotein A2
P56768,Photosystem I reaction center subunit VIII
P56769,Photosystem I reaction center subunit IX
P56771,Cytochrome f
P56773,Cytochrome b6
P56774,Cytochrome b6-f complex subunit 4
P56775,Cytochrome b6-f complex subunit 5
P56776,Cytochrome b6-f complex subunit 6
P56777,Photosystem II CP47 reaction center protein
P56778,Photosystem II CP43 reaction center protein
P56779,Cytochrome b559 subunit alpha
P56780,Photosystem II reaction center protein H
P56781,Photosystem II reaction center protein J
P56782,Photosystem II reaction center protein K
P56790,Photosystem II reaction center protein Z
P57106,"Malate dehydrogenase 2, cytoplasmic"
P57720,"Chorismate synthase, chloroplastic"
P57751,UTP--glucose-1-phosphate uridylyltransferase 1
P60112,"ATP synthase subunit 9, mitochondrial"
P60129,Photosystem II reaction center protein L
P60497,NADH-ubiquinone oxidoreductase chain 6
P60620,Cytochrome c oxidase subunit 1
P61039,Cytochrome b6-f complex subunit 8
P61839,Photosystem II reaction center protein T
P62090,Photosystem I iron-sulfur center
P62095,Cytochrome b559 subunit beta
P62100,Photosystem II reaction center protein I
P62109,Photosystem II reaction center protein M
P62113,Protein PsbN
P68209,"Succinate--CoA ligase [ADP-forming] subunit alpha-1, mitochondrial"
P83483,"ATP synthase subunit beta-1, mitochondrial"
P83484,"ATP synthase subunit beta-2, mitochondrial"
P83755,Photosystem II protein D1
P92533,NADH-ubiquinone oxidoreductase chain 3
P92547,ATP synthase subunit a-2
P92549,"ATP synthase subunit alpha, mitochondrial"
P92979,"5'-adenylylsulfate reductase 1, chloroplastic"
P92980,"5'-adenylylsulfate reductase 3, chloroplastic"
P92981,"5'-adenylylsulfate reductase 2, chloroplastic"
P92983,"Proline dehydrogenase 1, mitochondrial"
P93032,"Isocitrate dehydrogenase [NAD] regulatory subunit 2, mitochondrial"
P93033,"Fumarate hydratase 1, mitochondrial"
P93285,Cytochrome c oxidase subunit 2
P93306,NADH dehydrogenase [ubiquinone] iron-sulfur protein 2
P93313,NADH-ubiquinone oxidoreductase chain 4
P93757,Guanylate kinase 1
P93819,"Malate dehydrogenase 1, cytoplasmic"
P93832,"3-isopropylmalate dehydrogenase 2, chloroplastic"
P93834,Hexokinase-2
Q00218,"Phospho-2-dehydro-3-deoxyheptonate aldolase 2, chloroplastic"
Q00917,Sucrose synthase 2
Q01908,"ATP synthase gamma chain 1, chloroplastic"
Q01909,"ATP synthase gamma chain 2, chloroplastic"
Q02166,"Anthranilate phosphoribosyltransferase, chloroplastic"
Q04613,ATP synthase protein MI25
Q04614,NADH-ubiquinone oxidoreductase chain 4L
Q05728,"Phosphoribosylformylglycinamidine cyclo-ligase, chloroplastic"
Q05758,"Ketol-acid reductoisomerase, chloroplastic"
Q05762,Bifunctional dihydrofolate reductase-thymidylate synthase 1
Q0WNZ5,"5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 3, chloroplastic"
Q0WQF7,"Dihydrolipoyllysine-residue acetyltransferase component 1 of pyruvate dehydrogenase complex, mitochondrial"
Q0WRY1,CTP synthase
Q0WSF1,Aldehyde dehydrogenase 22A1
Q0WVX5,"Probable starch synthase 4, chloroplastic/amyloplastic"
Q0WW55,Thymidylate kinase
Q0WWE3,"Cytochrome b-c1 complex subunit 6-1, mitochondrial"
Q1JPL4,"External alternative NAD(P)H-ubiquinone oxidoreductase B1, mitochondrial"
Q1WIQ6,NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
Q24JJ8,Peroxisomal (S)-2-hydroxyacid oxidase GLO3
Q2PGG3,Serine racemase
Q2V2S7,"NAD(P)H-quinone oxidoreductase subunit M, chloroplastic"
Q37165,"NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic"
Q38799,"Pyruvate dehydrogenase E1 component subunit beta-1, mitochondrial"
Q38946,Glutamate dehydrogenase 2
Q39161,"Ferredoxin--nitrite reductase, chloroplastic"
Q39194,"Photosystem II reaction center W protein, chloroplastic"
Q39195,"Photosystem II 5 kDa protein, chloroplastic"
Q39218,"Serine acetyltransferase 3, mitochondrial"
Q39219,"Ubiquinol oxidase 1a, mitochondrial"
Q39242,Thioredoxin reductase 2
Q39243,"Thioredoxin reductase 1, mitochondrial"
Q3E870,"Succinate dehydrogenase subunit 7B, mitochondrial"
Q41932,"Oxygen-evolving enhancer protein 3-2, chloroplastic"
Q42029,"Oxygen-evolving enhancer protein 2-1, chloroplastic"
Q42290,"Probable mitochondrial-processing peptidase subunit beta, mitochondrial"
Q42440,"N-(5'-phosphoribosyl)anthranilate isomerase 1, chloroplastic"
Q42472,Glutamate decarboxylase 2
Q42521,Glutamate decarboxylase 1
Q42527,"N-(5'-phosphoribosyl)anthranilate isomerase 2, chloroplastic"
Q42529,"Tryptophan synthase alpha chain, chloroplastic"
Q42533,"Biotin carboxyl carrier protein of acetyl-CoA carboxylase 1, chloroplastic"
Q42538,Serine acetyltransferase 5
Q42547,Catalase-3
Q42560,Aconitate hydratase 1
Q42563,Adenine phosphoribosyltransferase 2
Q42577,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial"
Q42581,"Ribose-phosphate pyrophosphokinase 1, chloroplastic"
Q42583,"Ribose-phosphate pyrophosphokinase 2, chloroplastic"
Q42586,Uridine 5'-monophosphate synthase
Q42588,"Serine acetyltransferase 1, chloroplastic"
Q42599,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8-A, mitochondrial"
Q42601,"Carbamoyl phosphate synthase arginine-specific large chain, chloroplastic"
Q43127,"Glutamine synthetase, chloroplastic/mitochondrial"
Q43314,Glutamate dehydrogenase 1
Q43727,"Glucose-6-phosphate 1-dehydrogenase 1, chloroplastic"
Q43870,ATP sulfurylase 2
Q56WN1,Glutamine synthetase cytosolic isozyme 1-1
Q56X52,"Ubiquinol oxidase 4, chloroplastic/chromoplastic"
Q56YA5,Serine--glyoxylate aminotransferase
Q56YU0,Aldehyde dehydrogenase family 2 member C4
Q5E924,"Glyceraldehyde-3-phosphate dehydrogenase GAPCP2, chloroplastic"
Q5GM68,Phosphoenolpyruvate carboxylase 2
Q5HZ05,Probable trehalose-phosphate phosphatase J
Q5M729,"Dihydrolipoyllysine-residue acetyltransferase component 3 of pyruvate dehydrogenase complex, mitochondrial"
Q67X99,Probable trehalose-phosphate phosphatase E
Q67XC9,Probable trehalose-phosphate phosphatase D
Q67XD9,Alkaline/neutral invertase CINV2
Q6NKX1,"Proline dehydrogenase 2, mitochondrial"
Q6NPM8,"Bifunctional phosphatase IMPL2, chloroplastic"
Q70DU8,Aldehyde dehydrogenase family 3 member H1
Q70E96,Aldehyde dehydrogenase family 3 member F1
Q84JA6,Cellulose synthase A catalytic subunit 4 [UDP-forming]
Q84TI2,phosphoribosylaminoimidazole carboxylase
Q84VQ4,"NAD(P)H-quinone oxidoreductase subunit U, chloroplastic"
Q84VW9,Phosphoenolpyruvate carboxylase 3
Q84WW2,"6-phosphogluconolactonase 3, chloroplastic"
Q8GSJ1,"ATP phosphoribosyltransferase 2, chloroplastic"
Q8GVE8,Phosphoenolpyruvate carboxylase 4
Q8GWA1,"Internal alternative NAD(P)H-ubiquinone oxidoreductase A1, mitochondrial"
Q8GWG2,Probable trehalose-phosphate phosphatase H
Q8GWU0,Phosphoglycolate phosphatase 2
Q8GXG1,Probable isoaspartyl peptidase/L-asparaginase 2
Q8GXR9,"Alternative NAD(P)H-ubiquinone oxidoreductase C1, chloroplastic/mitochondrial"
Q8GXW5,Glutamine synthetase cytosolic isozyme 1-5
Q8GY88,"Shikimate kinase 2, chloroplastic"
Q8GYY0,Probable aminotransferase ACS12
Q8H103,"Glucose-6-phosphate isomerase 1, chloroplastic"
Q8H107,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex 2, mitochondrial"
Q8H1E2,"Malate dehydrogenase [NADP], chloroplastic"
Q8L743,"Glucose-6-phosphate 1-dehydrogenase 3, chloroplastic"
Q8L762,Beta-amylase 6
Q8L778,Cellulose synthase A catalytic subunit 5 [UDP-forming]
Q8L7R2,Homoserine kinase
Q8L817,Alpha carbonic anhydrase 7
Q8LAD0,Probable pyridoxal 5'-phosphate synthase subunit PDX2
Q8LAD2,"Succinate--CoA ligase [ADP-forming] subunit alpha-2, mitochondrial"
Q8LAX0,Homocysteine S-methyltransferase 3
Q8LB01,"4-hydroxy-tetrahydrodipicolinate reductase 2, chloroplastic"
Q8LB02,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 2, mitochondrial"
Q8LBZ7,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1, mitochondrial"
Q8LCA1,"Protein CURVATURE THYLAKOID 1B, chloroplastic"
Q8LCE1,Glutamine synthetase cytosolic isozyme 1-2
