,prot
Q9LDV4,"Alanine aminotransferase 2, mitochondrial"
Q9LE33,Glyoxylate/hydroxypyruvate reductase HPR3
Q9LEU8,"Argininosuccinate lyase, chloroplastic"
Q9LF98,"Fructose-bisphosphate aldolase 8, cytosolic"
Q9LFF9,Soluble inorganic pyrophosphatase 4
Q9LFG2,"Diaminopimelate epimerase, chloroplastic"
Q9LFP0,Adenine phosphoribosyltransferase 5
Q9LFU1,Asparagine synthetase [glutamine-hydrolyzing] 3
Q9LIK0,"Plastidial pyruvate kinase 1, chloroplastic"
Q9LIK9,"ATP sulfurylase 1, chloroplastic"
Q9LIR4,"Dihydroxy-acid dehydratase, chloroplastic"
Q9LIR6,"Beta-amylase 1, chloroplastic"
Q9LJA0,Putative inactive cysteine synthase 2
Q9LK23,"Glucose-6-phosphate 1-dehydrogenase 5, cytoplasmic"
Q9LK29,"Cytochrome c1 1, heme protein, mitochondrial"
Q9LK36,Adenosylhomocysteinase 2
Q9LKA3,"Malate dehydrogenase 2, mitochondrial"
Q9LLC1,"Biotin carboxyl carrier protein of acetyl-CoA carboxylase 2, chloroplastic"
Q9LM13,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 1"
Q9LMI0,"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 7"
Q9LMR3,"Arogenate dehydrogenase 2, chloroplastic"
Q9LMX8,Probable 6-phosphogluconolactonase 1
Q9LPR4,"2-isopropylmalate synthase 1, chloroplastic"
Q9LPW0,"Glyceraldehyde-3-phosphate dehydrogenase GAPA2, chloroplastic"
Q9LQ10,Probable aminotransferase ACS10
Q9LQF2,Alkaline/neutral invertase CINV1
Q9LQK9,Putative isocitrate dehydrogenase [NAD] subunit-like 4
Q9LR30,Glutamate--glyoxylate aminotransferase 1
Q9LRR9,Glycolate oxidase 1
Q9LRS0,Glycolate oxidase 2
Q9LSD0,Ribonucleoside-diphosphate reductase small chain C
Q9LSH2,Glutamate decarboxylase 5
Q9LT69,"D-3-phosphoglycerate dehydrogenase 3, chloroplastic"
Q9LTW8,CTP synthase
Q9LU21,"Photosynthetic NDH subunit of subcomplex B 3, chloroplastic"
Q9LU95,Pyruvate kinase
Q9LUT2,S-adenosylmethionine synthase 4
Q9LV03,"Glutamate synthase 1 [NADH], chloroplastic"
Q9LV77,Asparagine synthetase [glutamine-hydrolyzing] 2
Q9LV91,"4-alpha-glucanotransferase DPE1, chloroplastic/amyloplastic"
Q9LVI8,Glutamine synthetase cytosolic isozyme 1-3
Q9LVM2,"NAD(P)H-quinone oxidoreductase subunit N, chloroplastic"
Q9LVW7,"Carbamoyl phosphate synthase small chain, chloroplastic"
Q9LW15,"Cytochrome c oxidase subunit 5b-1, mitochondrial"
Q9LXC9,"Soluble inorganic pyrophosphatase 6, chloroplastic"
Q9LXJ2,"Cytochrome b-c1 complex subunit 9, mitochondrial"
Q9LXL5,Sucrose synthase 4
Q9LXS6,"Citrate synthase 2, peroxisomal"
Q9LYG3,NADP-dependent malic enzyme 2
Q9LYR2,"Cytochrome b-c1 complex subunit Rieske-2, mitochondrial"
Q9LYR4,"Aldolase-type TIM barrel family protein, Putative transaldolase, Transaldolase-like protein"
Q9LYT7,3-isopropylmalate dehydratase small subunit 3
Q9LYU8,"Aspartokinase 1, chloroplastic"
Q9LZ66,"Assimilatory sulfite reductase (ferredoxin), chloroplastic"
Q9LZC3,Malate synthase
Q9LZG0,Adenosine kinase 2
Q9LZQ0,Cytochrome c oxidase subunit 5C-2
Q9LZX6,"4-hydroxy-tetrahydrodipicolinate synthase 1, chloroplastic"
Q9M044,Pyruvate kinase
Q9M057,Pyruvate kinase
Q9M076,ATP-dependent 6-phosphofructokinase 6
Q9M0F9,ATP-dependent 6-phosphofructokinase 1
Q9M1B9,Probable fructokinase-4
Q9M1D3,"Citrate synthase 5, mitochondrial"
Q9M1W4,Homocysteine S-methyltransferase 2
Q9M394,"Fructokinase-like 1, chloroplastic"
Q9M401,"Branched-chain-amino-acid aminotransferase 3, chloroplastic"
Q9M439,"Branched-chain-amino-acid aminotransferase 2, chloroplastic"
Q9M5K2,"Dihydrolipoyl dehydrogenase 2, mitochondrial"
Q9M5K3,"Dihydrolipoyl dehydrogenase 1, mitochondrial"
Q9M682,Guanylate kinase 2
Q9M8D3,"Probable phosphoribosylformylglycinamidine synthase, chloroplastic/mitochondrial"
Q9M8M7,"Acetylornithine aminotransferase, chloroplastic/mitochondrial"
Q9M9K1,"Probable 2,3-bisphosphoglycerate-independent phosphoglycerate mutase 2"
Q9M9P3,UTP--glucose-1-phosphate uridylyltransferase 2
Q9MA79,"Fructose-1,6-bisphosphatase, cytosolic"
Q9MAC8,"Starch synthase 2, chloroplastic/amyloplastic"
Q9MAH0,Phosphoenolpyruvate carboxylase 1
Q9MB58,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase"
Q9S702,"Aspartokinase 3, chloroplastic"
Q9S714,"Photosystem I reaction center subunit IV B, chloroplastic"
Q9S726,"Probable ribose-5-phosphate isomerase 3, chloroplastic"
Q9S757,"Bifunctional L-3-cyanoalanine synthase/cysteine synthase C1, mitochondrial"
Q9S762,"ATP phosphoribosyltransferase 1, chloroplastic"
Q9S7A0,Probable glutamate dehydrogenase 3
Q9S7B5,"Threonine synthase 1, chloroplastic"
Q9S7D8,"ATP sulfurylase 4, chloroplastic"
Q9S7E4,"Formate dehydrogenase, chloroplastic/mitochondrial"
Q9S7E9,Glutamate--glyoxylate aminotransferase 2
Q9S7H1,"Photosystem I reaction center subunit II-1, chloroplastic"
Q9S7H4,Chorismate mutase 2
Q9S7L9,Cytochrome c oxidase subunit 6b-1
Q9S7N7,"Photosystem I reaction center subunit V, chloroplastic"
Q9S829,"NAD(P)H-quinone oxidoreductase subunit O, chloroplastic"
Q9S831,"Photosystem I reaction center subunit IV A, chloroplastic"
Q9S841,"Oxygen-evolving enhancer protein 1-2, chloroplastic"
Q9S9N6,"Photosynthetic NDH subunit of subcomplex B 1, chloroplastic"
Q9SA14,"3-isopropylmalate dehydrogenase 3, chloroplastic"
Q9SA18,"Bifunctional aspartokinase/homoserine dehydrogenase 1, chloroplastic"
Q9SA34,Inosine-5'-monophosphate dehydrogenase 2
Q9SA56,"Photosystem I reaction center subunit II-2, chloroplastic"
Q9SA96,"Arogenate dehydratase/prephenate dehydratase 1, chloroplastic"
Q9SAJ4,"Phosphoglycerate kinase 3, cytosolic"
Q9SAJ6,"Glyceraldehyde-3-phosphate dehydrogenase GAPCP1, chloroplastic"
Q9SAK4,"Succinate-semialdehyde dehydrogenase, mitochondrial"
Q9SAU2,"Ribulose-5-phosphate-3-epimerase, chloroplastic"
Q9SCL7,"Acetylglutamate kinase, chloroplastic"
Q9SCS3,Phosphoglycerate mutase-like protein 4
Q9SCY0,"Phosphoglucomutase, chloroplastic"
Q9SCY3,"Photosynthetic NDH subunit of lumenal location 4, chloroplastic"
Q9SD76,"Alpha-glucan phosphorylase 2, cytosolic"
Q9SDL7,Homocysteine S-methyltransferase 1
Q9SE60,Methylenetetrahydrofolate reductase (NADH) 1
Q9SF85,Adenosine kinase 1
Q9SG91,"Cytochrome b-c1 complex subunit 8-1, mitochondrial"
Q9SGC1,"Probable phosphoglucomutase, cytoplasmic 2"
Q9SGD6,"Arogenate dehydratase/prephenate dehydratase 6, chloroplastic"
Q9SGH4,"Photosynthetic NDH subunit of lumenal location 3, chloroplastic"
Q9SGY2,ATP-citrate synthase alpha chain protein 1
Q9SH69,"6-phosphogluconate dehydrogenase, decarboxylating 1, chloroplastic"
Q9SHE8,"Photosystem I reaction center subunit III, chloroplastic"
Q9SHG0,"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 3"
Q9SHP0,"Phosphoserine aminotransferase 2, chloroplastic"
Q9SI61,"Amidophosphoribosyltransferase 1, chloroplastic"
Q9SIB9,"Aconitate hydratase 3, mitochondrial"
Q9SID0,Probable fructokinase-1
Q9SIE1,Bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase
Q9SIK1,"Probable glucose-1-phosphate adenylyltransferase large subunit, chloroplastic"
Q9SIU0,"NAD-dependent malic enzyme 1, mitochondrial"
Q9SJ05,"Shikimate kinase 1, chloroplastic"
Q9SJ20,Ribonucleoside-diphosphate reductase large subunit
Q9SJ22,Probable cellulose synthase A catalytic subunit 9 [UDP-forming]
Q9SJ66,Probable sucrose-phosphatase 2
Q9SJH7,"Citrate synthase 3, peroxisomal"
Q9SJL8,S-adenosylmethionine synthase 3
Q9SJM7,Uridine nucleosidase 1
Q9SJQ0,Pyruvate kinase
Q9SJQ9,"Fructose-bisphosphate aldolase 6, cytosolic"
Q9SJU4,"Fructose-bisphosphate aldolase 1, chloroplastic"
Q9SJV7,"Cytochrome b-c1 complex subunit 6-2, mitochondrial"
Q9SKE0,"Succinate dehydrogenase subunit 8, mitochondrial"
Q9SKJ5,Probable cellulose synthase A catalytic subunit 10 [UDP-forming]
Q9SKP6,"Triosephosphate isomerase, chloroplastic"
Q9SKT7,"External alternative NAD(P)H-ubiquinone oxidoreductase B4, mitochondrial"
Q9SLK0,Peroxisomal isocitrate dehydrogenase [NADP]
Q9SMS0,"NAD(P)H-quinone oxidoreductase subunit T, chloroplastic"
Q9SN86,"Malate dehydrogenase, chloroplastic"
Q9SPK5,Formate--tetrahydrofolate ligase
Q9SQG2,Apyrase 1
Q9SQQ7,Pyruvate kinase
Q9SQT8,"Bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase, chloroplastic"
Q9SR52,Urease
Q9SR86,"Alanine--glyoxylate aminotransferase 2 homolog 3, mitochondrial"
Q9SRV5,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 2
Q9SRZ6,Cytosolic isocitrate dehydrogenase [NADP]
Q9SSB8,"Cytochrome c oxidase subunit 5b-2, mitochondrial"
Q9SSE7,"Arogenate dehydratase/prephenate dehydratase 2, chloroplastic"
Q9SSP5,"Threonine synthase 2, chloroplastic"
Q9SSS9,"ATP synthase subunit delta, chloroplastic"
Q9STG6,Deoxyuridine 5'-triphosphate nucleotidohydrolase
Q9STG9,"Amidophosphoribosyltransferase 2, chloroplastic"
Q9SU38,Adenine phosphoribosyltransferase 4
Q9SU39,Probable trehalose-phosphate phosphatase F
Q9SUB4,Alpha carbonic anhydrase 6
Q9SUD3,Cytochrome c oxidase subunit 6b-3
Q9SUI4,"Photosystem I reaction center subunit XI, chloroplastic"
Q9SUI5,"Photosystem I reaction center subunit psaK, chloroplastic"
Q9SUI6,"Photosystem I reaction center subunit VI-2, chloroplastic"
Q9SUI7,"Photosystem I reaction center subunit VI-1, chloroplastic"
Q9SUU5,"Cytochrome b-c1 complex subunit 7-1, mitochondrial"
Q9SUW0,Probable trehalose-phosphate phosphatase G
Q9SUW2,Adenine phosphoribosyltransferase 3
Q9SVM4,Serine hydroxymethyltransferase 5
Q9SWW6,Cellulose synthase A catalytic subunit 7 [UDP-forming]
Q9SX77,"Succinate dehydrogenase subunit 5, mitochondrial"
Q9SXS7,Bifunctional L-3-cyanoalanine synthase/cysteine synthase D2
Q9SYG7,Aldehyde dehydrogenase family 7 member B4
Q9SYM4,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 1"
Q9SYP2,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha 1
Q9SZ30,"Imidazole glycerol phosphate synthase hisHF, chloroplastic"
Q9SZJ5,"Serine hydroxymethyltransferase 1, mitochondrial"
Q9SZT8,"Pentatricopeptide repeat-containing protein ELI1, chloroplastic"
Q9SZX3,"Argininosuccinate synthase, chloroplastic"
Q9T074,Phosphoenolpyruvate carboxykinase (ATP) 1
Q9T0A4,"NAD(P)H-quinone oxidoreductase subunit S, chloroplastic"
Q9T0J5,"Amidophosphoribosyltransferase 3, chloroplastic"
Q9T0P4,"Ferredoxin-dependent glutamate synthase 2, chloroplastic"
Q9XF91,"Photosystem II 22 kDa protein, chloroplastic"
Q9XFT3,"Oxygen-evolving enhancer protein 3-1, chloroplastic"
Q9XGZ0,NADP-dependent malic enzyme 3
Q9XI73,"Photosynthetic NDH subunit of lumenal location 2, chloroplastic"
Q9ZNZ7,"Ferredoxin-dependent glutamate synthase 1, chloroplastic/mitochondrial"
Q9ZP05,"Malate dehydrogenase 2, peroxisomal"
Q9ZP06,"Malate dehydrogenase 1, mitochondrial"
Q9ZPF5,"Arginase 2, chloroplastic/mitochondrial"
Q9ZPS3,Glutamate decarboxylase 4
Q9ZPS4,Glutamate decarboxylase 3
Q9ZPX5,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit 2, mitochondrial"
Q9ZR03,"Cytochrome b6-f complex iron-sulfur subunit, chloroplastic"
Q9ZSS6,"Threonine dehydratase biosynthetic, chloroplastic"
Q9ZU25,"Probable mitochondrial-processing peptidase subunit alpha-1, mitochondrial"
Q9ZU52,"Fructose-bisphosphate aldolase 3, chloroplastic"
Q9ZUC2,Beta carbonic anhydrase 3
Q9ZUR7,"Arginine biosynthesis bifunctional protein ArgJ, chloroplastic"
Q9ZUU1,"Adenylate kinase 1, chloroplastic"
Q9ZUY3,"Arogenate dehydratase 3, chloroplastic"
Q9ZV48,"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 11"
Q9ZW34,Cytosolic enolase 3
Q9ZW84,3-isopropylmalate dehydratase small subunit 2
Q9ZW85,3-isopropylmalate dehydratase small subunit 1
O48717,"At2g26500, Cytochrome b6f complex subunit (PetM), Expressed protein"
