,Isoenzymes,ComplexID,Pmet
2602,Q9ZUU1,pmet_AMPK_c,pmet_AMPK_c
2603,Q9FK35,pmet_AMPK_c,pmet_AMPK_c
2604,O82514,pmet_AMPK_c,pmet_AMPK_c
2605,Q8VYL1,pmet_AMPK_h,pmet_AMPK_h
2606,Q9ZUU1,pmet_AMPK_h,pmet_AMPK_h
2607,Q9FIJ7,pmet_AMPK_h,pmet_AMPK_h
2608,P93757,pmet_GMPK_c,pmet_GMPK_c
2609,Q9M682,pmet_GMPK_c,pmet_GMPK_c
2610,P50651,pmet_ADPR_c,pmet_ADPR_c
2613,Q9LSD0,pmet_ADPR_c,pmet_ADPR_c
2614,P50651,pmet_ADPR_c,pmet_CDPR_c
2617,Q9LSD0,pmet_ADPR_c,pmet_CDPR_c
2618,P50651,pmet_ADPR_c,pmet_GDPR_c
2621,Q9LSD0,pmet_ADPR_c,pmet_GDPR_c
2622,P50651,pmet_ADPR_c,pmet_UDPR_c
2625,Q9LSD0,pmet_ADPR_c,pmet_UDPR_c
2626,P39207,pmet_GDPK_c,pmet_GDPK_c
2627,O64903,pmet_GDPK_c,pmet_GDPK_c
2628,P39207,pmet_GDPK_c,pmet_GDPK_h
2629,O64903,pmet_GDPK_c,pmet_GDPK_h
2630,P39207,pmet_GDPK_c,pmet_UDPK_c
2631,O64903,pmet_GDPK_c,pmet_UDPK_c
2632,P39207,pmet_GDPK_c,pmet_dADPK_c
2633,O64903,pmet_GDPK_c,pmet_dADPK_c
2634,P39207,pmet_GDPK_c,pmet_dCDPK_c
2635,O64903,pmet_GDPK_c,pmet_dCDPK_c
2636,P39207,pmet_GDPK_c,pmet_dGDPK_c
2637,O64903,pmet_GDPK_c,pmet_dGDPK_c
2638,P39207,pmet_GDPK_c,pmet_dTDPK_c
2639,O64903,pmet_GDPK_c,pmet_dTDPK_c
2640,P39207,pmet_GDPK_c,pmet_dUDPK_c
2641,O64903,pmet_GDPK_c,pmet_dUDPK_c
2642,Q39219,pmet_AOX1A_m,pmet_AOX1A_m
2643,O23913,pmet_AOX1A_m,pmet_AOX1A_m
2644,O22048,pmet_AOX1A_m,pmet_AOX1A_m
2645,O22049,pmet_AOX1A_m,pmet_AOX1A_m
2646,Q8LEE7,pmet_AOX1A_m,pmet_AOX1A_m
2647,Q8GYY0,pmet_AspAT2_c,pmet_AspAT2_c
2648,Q9LQ10,pmet_AspAT2_c,pmet_AspAT2_c
2649,P46646,pmet_AspAT2_c,pmet_AspAT2_c
2650,P46645,pmet_AspAT2_c,pmet_AspAT2_c
2651,P46644,pmet_AspAT2_c,pmet_AspAT2_c
2652,Q9SIE1,pmet_AspAT2_c,pmet_AspAT2_c
2653,Q9SIE1,pmet_AspAT2_h,pmet_AspAT2_h
2654,P46248,pmet_AspAT2_h,pmet_AspAT2_h
2655,P46644,pmet_AspAT2_h,pmet_AspAT2_h
2656,P46643,pmet_AspAT2_m,pmet_AspAT2_m
2657,P46248,pmet_AspAT2_m,pmet_AspAT2_m
2658,P42738,pmet_CHRM_h,pmet_CHRM_h
2659,Q9C544,pmet_CHRM_h,pmet_CHRM_h
2660,P23686,pmet_MetAdT_c,pmet_MetAdT_c
2661,Q9SJL8,pmet_MetAdT_c,pmet_MetAdT_c
2662,P17562,pmet_MetAdT_c,pmet_MetAdT_c
2663,Q9LUT2,pmet_MetAdT_c,pmet_MetAdT_c
